Original_SMILES,Product_SMILES,Similarity,Reaction_SMARTS,DOI
*c1ccc[nH]c1=O,*N1CCN(C(=O)OC)CC1=O,0.1,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:7][C:3]N(C(=O)O[C:2])[C:4][C:5]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCSCC1=O,0.1212,[*:1][c:2]1[c:3][c][c:5][n:6][c:7]1>>[*:1][N:6]1[C:7][C:2]S[C:3][C:5]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCCCCC1=O,0.125,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:5][C:4][C:3][C:2]C[C:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCCC(C)C1=O,0.1143,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:5][C:4][C:3][C:2](C)[C:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(c2cc[nH]c(=O)c2)CC1,0.2571,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1]N1CCN([c:2]2[c:3][c:7][n:6][c:5][c:4]2)CC1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCC(C=O)CC1,0.0606,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:4][C:3][C:2]([C:7])C[C:5]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*n1cc[nH]c1=O,0.2963,[*:1][c:2]1[c:3][c][c][n:6][c:7]1>>[*:1]n1[c:3][c:2][n:6][c:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*C1(S(C)(=O)=O)C=CC=CC1=O,0.1429,[n:1]1[c:2][c:3][c:4][c:5][c:6]1>>[c:1]1[c:2][c:3](-[S](=[O])(=[O])-[C])[c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*c1ccccc1NS(=O)(=O)C=O,0.3125,[c:1]1[c:2][n:3][c:4][c:5][c:6]1>>[c:1]1[c](-[N]-[S](=[O])(=[O])-[C:2])[c:3][c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*c1nn[nH][n+]1[O-],0.129,[c:1]1[n:2][c:3][c:4][c:5][c]1>>[n:1]1[n:2][n:3][c:4][n:5]1,https://doi.org/10.1021/acs.jmedchem.4c00962
*c1ccc[nH]c1=O,*C12C=CC=CC1=CC=CC2=O,0.1389,[n:1]1[c:2][c:3][c:4][c:5][c:6]1>>[c:1]1[c:2][c:3]2[c][c][c][c][c:4]2[c:5][c:6]1,https://doi.org/10.26434/chemrxiv.13525457
*c1ccc[nH]c1=O,*c1cc2ccccc2[nH]c1=O,0.3333,[*:1]-[c:2]1[c:7][c:6][c:5][n:4][c:3]1>>[*:1]-[c:2]1[c:3][n:4][c]2[c:5][c][c:6][c][c]2[c:7]1,https://doi.org/10.1021/acs.jmedchem.0c01826
*c1ccc[nH]c1=O,*N1CCOCC1=O,0.1212,[*:1]-[c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1]-[N:2]-1-[C:3]-[C:4]-[O:5]-[C:6]-[C:7]1,https://doi.org/10.1021/acs.jmedchem.0c01549
*c1ccc[nH]c1=O,*n1[nH]ccc1=O,0.2963,[*:1][c:2]1[c][c][c:5][n:6][c:7]1>>[*:1]n1[c:7][c:2][c:5][n:6]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*C1CCCOC1=O,0.1212,[*:1][c:2]1[c:3][c:4][c:5][n][c:7]1>>[*:1][C:2]1[C:3][C:4][C:5]O[C:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*C12CC3CC(CC(C3)C1=O)C2,0.1176,[*:1][c:2]1[c:3][c:4][c:5][n][c:7]1>>[*:1][C:2]12CC3CC([C:5][C:4](C3)[C:3]1)[C:7]2,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1cc2ccc[nH]c-2cc1=O,0.4483,[*:1][c:2]1[c:9][c:8][c:7][n:6][c:3]1>>[*:1][c:2]1[c:3][c][c]2[n:6][c:7][c:8][c:9][c]2[c]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1cccc(C(C)=O)c1,0.2188,[*:1][c:2]1[c:9][c:3][c:5]n[c:7]1>>[*:1][c:2]1[c:3][c][c:5][c]([C:7][C])[c:9]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1ccc2[nH][nH]cc-2c1=O,0.25,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:10]1>>[*:1][c:2]1[c:3][c:4][c:5]2[n:6][nH][c][c]2[c:10]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1cc2cc[nH]c2[nH]c1=O,0.3667,[*:1][c:2]1[c:10][c:9][c:5][n:4][c:3]1>>[*:1][c:2]1[c:3][n:4][c:5]2[nH][c][c][c:9]2[c:10]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1cc(N)c[nH]c1=O,0.3704,[*:1][c:2]1[c:8][c:6][c:5][n:4][c:3]1>>[*:1][c:2]1[c:3][n:4][c:5][c:6]([N])[c:8]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1ccc(C(=O)O)o1,0.1935,[*:1][c:2]1[c:3][c:4][c:5]n[c:6]1>>[*:1][c:2]1[c:3][c:4][c:5]([C:6][O])[o]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1c[nH]n(C2CCNCC2)c1=O,0.2222,[*:1][c:2]1[c:3][c:6][c:8][n:4][c:12]1>>[*:1][c:2]1[c:3][n:4][n]([C:6]2[C][C:8][N][C][C]2)[c:12]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1ccc(C(C)=O)o1,0.1875,[*:1][c:2]1[c:3][c:4][c:5]n[c:6]1>>[*:1][c:2]1[c:3][c:4][c:5]([C:6][C])[o]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1ccccc1C(=O)N(C)C,0.2903,[*:1][c:2]1[c:3][c:4][c:10][n:9][c:8]1>>[*:1][c:2]1[c:3][c:4][c][c][c]1[C:8][N:9]([C:10])[C],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1cc(CO)c[nH]c1=O,0.3448,[*:1][c:2]1[c:7][c:6][c:5][n:4][c:3]1>>[*:1][c:2]1[c:3][n:4][c:5][c:6]([C:7][O])[c]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCC(O)C1=O,0.1562,[*:1][c:5]1[c:4]c[c:3][n:2][c:7]1>>[*:1][N:2]1[C:3][C:4][C:5]([O])[C:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(C2CCCCC2)CC1=O,0.1026,[*:1][c:6]1[c:7][c:8][c:9][n:2][c:3]1>>[*:1][N:2]1[C:3][C][N]([C:6]2[C:7][C:8][C:9][C][C]2)[C][C]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(c2ccccn2)CC1=O,0.1707,[*:1][c:6]1[c:7][c:8][c:9][n:2][c:3]1>>[*:1][N:2]1[C:3][C][N]([c:6]2[c:7][c:8][c:9][c][n]2)[C][C]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(CCCC)CC1=O,0.1,[*:1][c:4]1[c:8][c:7][c:6][n:2][c:3]1>>[*:1][N:2]1[C:3][C:4][N]([C:6][C:7][C:8][C])[C][C]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(C(=O)OC=O)CC1,0.0526,[*:1][c:6]1[c:10][c:4][c:3][n:2][c:9]1>>[*:1][N:2]1[C:3][C:4][N]([C:6](=[O])[O][C:9])[C:10][C]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(C(=O)C2CC2)CC1=O,0.1,[*:1][c:6]1[c:8][c:9][c:4][n:2][c:3]1>>[*:1][N:2]1[C:3][C:4][N]([C:6](=[O])[C:8]2[C:9][C]2)[C][C]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CC(C)CC(C)C1=O,0.1471,[*:1][c:4]1[c:5][c:6][c:9][n:2][c:3]1>>[*:1][N:2]1[C:3][C:4]([C:5])[C:6][C]([C])[C:9]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(C(=O)CCCC)CC1,0.05,[*:1][c:7]1[c:8][c:9][c:3][n:2][c:6]1>>[*:1][N:2]1[C:3][C][N]([C:6][C:7][C:8][C:9][C])[C][C]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCCC(CO)C1=O,0.1351,[*:1][c:6]1[c:7][c:4][c:3][n:2][c:9]1>>[*:1][N:2]1[C:3][C:4][C][C:6]([C:7][O])[C:9]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCS(=O)CC1=O,0.1176,[*:1][c:4]1c[c:7][c:8][n:2][c:3]1>>[*:1][N:2]1[C:3][C:4][S](=[O])[C:7][C:8]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCC(C(=O)N(C)C=O)CC1,0.0488,[*:1][c:6]1[c:5][c:4][c:3][n:2][c:9]1>>[*:1][N:2]1[C:3][C:4][C:5]([C:6](=[O])[N]([C:9])[C])[C][C]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCCC1=O,0.1333,[*:1][c:2]1[c][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:5][C:4][C:2][C:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCC=CC1=O,0.1562,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:7][C:2]=[C:3][C:4][C:5]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(C(C)C)CC1=O,0.1111,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:7]CN([C:2]([C:3])C)[C:4][C:5]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1ccn(C=O)n1,0.1875,[*:1][c:2]1[c:3]c[c:4][n:5][c:6]1>>[*:1][c:2]1[c:3][c:4][n:5]([C:6])[n]1,https://doi.org/10.1021/acs.jmedchem.1c01215
*c1ccc[nH]c1=O,*c1cccc2c(=O)[nH]ccc12,0.5385,[*:1][c:2]1[c:3][c:10][c:9][n:8][c:7]1>>[*:1][c:2]1[c:3][c][c][c]2[c:7][n:8][c:9][c:10][c]12,https://doi.org/10.1016/j.ejmech.2021.113392
