Original_SMILES,Product_SMILES,Similarity,Reaction_SMARTS,DOI
*c1ccnc(NC)n1,*c1cccc(CNC)c1,0.2162,[c:1]1[c:2][n:3][c:4][n:5][c:6]1 >> [c:1]1[c:2][c:3][c](-[C:4])[c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccc(ONC)c1,0.2162,[c:1]1[c:2][n:3][c:4][n:5][c:6]1 >> [c:1]1[c:2][c:3][c](-[O:4])[c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccc(NNC)c1,0.2222,[c:1]1[c:2][n:3][c:4][n:5][c:6]1 >> [c:1]1[c:2][c:3][c](-[N:4])[c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
*c1ccnc(NC)n1,*c1cccc(NNC)n1,0.3636,[c:1]1[c:2][n:3][c:4][n:5][c:6]1 >> [c:1]1[c:2][c:3][c](-[N:4])[n:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
*c1ccnc(NC)n1,*c1ccnc(NNC)c1,0.3529,[c:1]1[c:2][n:3][c:4][n:5][c:6]1 >> [c:1]1[c:2][c:3][c](-[N:4])[n:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
*c1ccnc(NC)n1,*c1nncc(NC)c1Cl,0.2432,[*:1]-[c:2]1[c:3][c:4][n:5][c:6](-[*:8])[n:7]1 >> [*:1]-[c:2]1[n:3][n:4][c:5][c:6](-[*:8])[c:7]1-[Cl],https://dx.doi.org/10.1021/acs.jmedchem.0c01498
*c1ccnc(NC)n1,*c1cc(OC)nc(NC)n1,0.4242,[*:1][c:2]1[c:3][c:4][n:7][c:8]([N:9])[n:10]1>>[*:1][c:2]1[c:3][c:4]([O][C])[n:7][c:8]([N:9])[n:10]1,https://doi.org/10.1021/acs.jmedchem.1c00382
*c1ccnc(NC)n1,*c1nc(NC)ncc1OC,0.4118,[*:1][c:2]1[c:8][c:7][n:6][c:4]([N:5])[n:3]1>>[*:1][c:2]1[n:3][c:4]([N:5])[n:6][c:7][c:8]1[O][C],https://doi.org/10.1021/acs.jmedchem.1c00382
*c1ccnc(NC)n1,*c1ccc2cc(NC)ccc2n1,0.3824,[c:7]1[c:8]n[c:1][n:5][c:6]1>>[c:1]1[c][c][c]2[n:5][c:6][c:7][c:8][c]2[c]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1ccnc2ccc(NC)cc12,0.3514,[c:7]1[c:8]n[c:1][n:5][c:6]1>>[c:1]1[c][c][c]2[n:5][c:6][c:7][c:8][c]2[c]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccnc1NC,0.4194,[c:1]1[c:2]n[c:3][n:4][c:6]1>>[c:1]1[c:2][c:3][n:4][c][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccc(OCNC)c1,0.2308,[c:6]1[c:7]n[c:1]n[c:5]1>>[C:1][O][c]1[c][c:5][c:6][c:7][c]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cnnc(NC)c1C,0.25,[*:1][c:2]1[c:8][c:9][n:4][c:3]([*:7])[n:5]1>>[*:1][c:2]1[c:3][n:4][n:5][c]([*:7])[c:8]1[C:9],https://dx.doi.org/10.1021/acs.jmedchem.0c01498
*c1ccnc(NC)n1,*c1cc2nccnc2cc1NC,0.3235,[*:1][c:2]1[c:11][c:7][n:6][c:3][n:9]1>>[*:1][c:2]1[c:3][c][c]2[n:6][c:7][c][n:9][c]2[c:11]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(NC)cn1,0.3871,[*:1][c:2]1n[c:3][c:4][c:5][n:6]1>>[*:1][c:2]1[c:3][c:4][c:5][n:6][c]1,https://doi.org/10.1016/j.ejmech.2024.116627
*c1ccnc(NC)n1,*c1ccncc1NC,0.3333,[*:1][c:2]1n[c:3][c:4][c:5][n:6]1>>[*:1][c:2]1[c:3][c:4][c:5][n:6][c]1,https://doi.org/10.1016/j.ejmech.2024.116627
*c1ccnc(NC)n1,*c1cc(NC)ccc1F,0.2571,[*:1][c:2]1n[c:3][c:5][c:7]n1>>[*:1][c:2]1[c:3][c][c:5]([F])[c:7][c]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(F)ccc1NC,0.2571,[*:1][c:2]1n[c:3][c:5][c:7]n1>>[*:1][c:2]1[c:3][c][c:5]([F])[c:7][c]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cncc(NC)n1,0.3438,[*:1][c:2]1[n:4][c:3][c:5][c:6][n:7]1>>[*:1][c:2]1[c:3][n:4][c:5][c:6][n:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1nccnc1NC,0.4138,[*:1][c:2]1[n:4][c:3][c:5][c:6][n:7]1>>[*:1][c:2]1[c:3][n:4][c:5][c:6][n:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccnc(OCC)n1,0.4375,[*:1][N:2]>>[*:1]O[C:2],https://doi.org/10.1016/j.ejmech.2021.113771
*c1ccnc(NC)n1,*c1ccnc(COC)n1,0.4688,[*:1][N:2]>>[*:1]O[C:2],https://doi.org/10.1016/j.ejmech.2021.113771
*c1ccnc(NC)n1,*c1ccnc(C(C)=O)n1,0.4375,[*:1][N][*:3]>>[*:1]C(=O)[*:3],https://doi.org/10.1016/j.ejmech.2020.112904
*c1ccnc(NC)n1,*c1ccnc(SC)n1,0.4667,[*:1][N][*:3]>>[*:1]S[*:3],https://doi.org/10.1016/j.ejmech.2020.112968
*c1ccnc(NC)n1,*c1ccnc(C(=O)NC)n1,0.4848,[*:1][N:2][*:3]>>[*:3][N:2]C([*:1])=O,https://doi.org/10.1016/j.ejmech.2020.113087
*c1ccnc(NC)n1,*c1ccnc(NC(C)=O)n1,0.6,[*:1][N:2][*:3]>>[*:3][N:2]C([*:1])=O,https://doi.org/10.1016/j.ejmech.2020.113087
*c1ccnc(NC)n1,*c1ccnc(NCC)n1,0.6207,[*:1][C:2]>>[*:1][C:2]C,https://doi.org/10.1021/acs.jmedchem.0c02094
*c1ccnc(NC)n1,*c1cnc(NC)s1,0.303,[*:1][c:2]1[n:3][c:4][c][c:6][n]1>>[*:1][c:2]1[n:3][c:4][c:6]s1,https://doi.org/10.1016/j.ejmech.2024.116122
*c1ccnc(NC)n1,*c1csc(NC)n1,0.3438,[*:1][c:2]1[n:3][c:4][c][c:6][n]1>>[*:1][c:2]1[n:3][c:4][c:6]s1,https://doi.org/10.1016/j.ejmech.2024.116122
